,=VeryGood=,Stamp and Scrape,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,=Unsatisfactory=,Did not even tingle for ant aging effect,,,
1,=VeryGood=,"Well, I like it",,,
2,=Excellent=,Much better than what I was using.,,,
3,=Unsatisfactory=,Disappointed with Usage and Dosage,,,
4,=Poor=,Don't work?,,,
5,=VeryGood=,Good product in a weird niche,,,
6,=Excellent=,Staple Scent for Active Males...imho,,,
7,=VeryGood=,Pure rose essence,,,
8,=VeryGood=,Good product,,,
9,=VeryGood=,soft,,,
10,=VeryGood=,40 Carrots Moisture Splurge is Great,,,
11,=Excellent=,Works,,,
12,=Good=,Okay but not the best!,,,
13,=Unsatisfactory=,Too man-like for me,,,
14,=Good=,I used to love this...,,,
15,=Good=,Great but pricey,,,
16,=Unsatisfactory=,Wouldn't buy again,,,
17,=Poor=,Poor product!,,,
18,=Poor=,Blegh,,,
19,=Unsatisfactory=,Not worth it $,,,
20,=Poor=,Stinks,,,
21,=Poor=,HORRIBLE,,,
22,=Excellent=,I'M A TRUE BLUE CONVERT!,,,
23,=Unsatisfactory=,Package says it causes cancer :(,,,
24,=VeryGood=,Reveiws...,,,
25,=Excellent=,Does wonders for acne,,,
26,=Poor=,Didn't work for me,,,
27,=Poor=,Junk,,,
28,=Good=,They keep sliding off.,,,
29,=Unsatisfactory=,Not for me,,,
30,=Excellent=,Excellent product,,,
31,=Good=,Its alright,,,
32,=Excellent=,Very good product,,,
33,=Excellent=,Where have you been all my life,,,
34,=Excellent=,My favorite cologne,,,
35,=Unsatisfactory=,ummmm,,,
36,=Excellent=,Wonderful Cologne,,,
37,=Unsatisfactory=,Left my hair lifeless!,,,
38,=Good=,Facial Scrub,,,
39,=Poor=,Sucker born every single day,,,
40,=VeryGood=,Very good,,,
41,=Unsatisfactory=,Didn't work for me,,,
42,=Excellent=,I think it is doing the job that I purchased it to do,,,
43,=Good=,Nice brush kit,,,
44,=Good=,"Great dryer, don't care for the conditioner",,,
45,=Poor=,Don't buy,,,
46,=VeryGood=,Philosophy when hope is not enough,,,
47,=Good=,Not a big fan of the scent.,,,
48,=Good=,SO-SO FOR HER,,,
49,=Unsatisfactory=,No results,,,
50,=Poor=,"not \silky-straight\""""",,,
51,=Poor=,Mineral oil turns me off..its not for me..here is the website info.,,,
52,=Excellent=,Lash and eyebrow tint,,,
53,=Unsatisfactory=,Not for the Uncoordinated,,,
54,=VeryGood=,I Like Aphogee 2 Min Reconstructor! Four Stars,,,
55,=Poor=,Studying or Working Out ... Don't Do It!,,,
56,=VeryGood=,Works For Me,,,
57,=VeryGood=,I'd give it 5 stars but...,,,
58,=Excellent=,Smells Good,,,
59,=Poor=,WARNING: SPARKS. DO NOT IGNORE.,,,
60,=VeryGood=,Lovely Eyes,,,
61,=Good=,Not for itchy scalp,,,
62,=VeryGood=,Interesting,,,
63,=VeryGood=,"yes, you need these!",,,
64,=VeryGood=,Very Moisturising,,,
65,=Good=,eh,,,
66,=Good=,New favorite color,,,
67,=Unsatisfactory=,Does not adhere to foundation well,,,
68,=Good=,Not sure,,,
69,=VeryGood=,Refreshing lotion,,,
70,=Poor=,I wanted it to work so much...but it didn't,,,
71,=Unsatisfactory=,Sort of works,,,
72,=Excellent=,great,,,
73,=Poor=,Save your money,,,
74,=Good=,strong but good product,,,
75,=Poor=,HARD TO PUT ON ESPECIALLY FOR BEGINNERS,,,
76,=Excellent=,Very satified,,,
77,=Unsatisfactory=,just o.k.,,,
78,=Good=,Beautiful Color... That doesn't last,,,
79,=VeryGood=,I Like it,,,
80,=Unsatisfactory=,"itw as balacka nd I was disappointed, I noyice now they have changed the photo ...",,,
81,=Unsatisfactory=,This is not natural.  Always check the ingredients.,,,
82,=Excellent=,Amazing product - do not use with AHAs,,,
83,=VeryGood=,Lovely face moisturizer,,,
84,=Poor=,Awful,,,
85,=VeryGood=,Easy to use,,,
86,=VeryGood=,It's a keeper,,,
87,=Unsatisfactory=,Allergic reaction,,,
88,=Poor=,Junk,,,
89,=Poor=,Very Disappointed,,,
90,=Excellent=,Wall mount mirror.,,,
91,=VeryGood=,meh,,,
92,=Good=,"Great idea, but the color enhancer is horrible",,,
93,=Poor=,Please read ingredients!,,,
94,=Good=,It's good.,,,
95,=Excellent=,Surprisingly wonderful,,,
96,=Unsatisfactory=,Smell?,,,
97,=VeryGood=,Work's Well,,,
98,=Poor=,"Okay, heavily perfumed",,,
99,=Poor=,too rough,,,
100,=Excellent=,It's awesome...highly recommend!,,,
101,=Unsatisfactory=,radiance eye cream,,,
102,=Poor=,HATE IT!!,,,
103,=Poor=,"Sorry guys, this one is a fake. You can see why in my link below",,,
104,=Unsatisfactory=,"Sadly, not for me...",,,
105,=Excellent=,Just what I was looking for!,,,
106,=Good=,It's OK.,,,
107,=VeryGood=,Smells so good!!,,,
108,=VeryGood=,"Dermatologists say its a good cleanser, but it was not gentle enough for my sensitive skin",,,
109,=Poor=,Didnt help my husband hair!,,,
110,=VeryGood=,Works as needed.,,,
111,=Unsatisfactory=,Smells nice but a bit too heavy for me,,,
112,=Good=,Not bad,,,
113,=Unsatisfactory=,Not for me,,,
114,=Poor=,Damager!,,,
115,=VeryGood=,"Works great, just not by itself!",,,
116,=Excellent=,Skin looks great,,,
117,=Unsatisfactory=,Not a big fan,,,
118,=Excellent=,makes my skin feel so clean,,,
119,=Poor=,Horrible,,,
120,=Good=,It does work a bit but it's like every other face wash,,,
121,=VeryGood=,Frizz Control =],,,
122,=Unsatisfactory=,"Great for hair, not for scalp",,,
123,=Excellent=,The best cleanser in the world!,,,
124,=Good=,Ok,,,
125,=Good=,It's OK,,,
126,=Poor=,Terrible product,,,
127,=VeryGood=,Your exotic scent will be noticed,,,
128,=Poor=,BROKE ME OUT,,,
129,=Excellent=,Arrived very fast.,,,
130,=VeryGood=,Not bad,,,
131,=Poor=,Product not for me,,,
132,=VeryGood=,good product,,,
133,=Poor=,Lied to by other buyers of this product,,,
134,=Excellent=,BEST Moisturizer for Acne-Prone Skin,,,
135,=Good=,Not as good as I thought,,,
136,=Excellent=,Feels Nice!,,,
137,=Unsatisfactory=,Great coverage at first but does not last,,,
138,=VeryGood=,I Like It More Than Expected,,,
139,=Good=,Okay for now.,,,
140,=Good=,Its a Good Product.,,,
141,=Good=,It's okay.,,,
142,=Poor=,didn't work,,,
143,=Poor=,Not for me,,,
144,=VeryGood=,Great but Bullky,,,
145,=Poor=,crap,,,
146,=VeryGood=,A little goes a long way,,,
147,=VeryGood=,"Different from original, but still okay",,,
148,=VeryGood=,Necessary tool for the job...,,,
149,=VeryGood=,creamy and non greasy,,,
150,=Good=,it gets hot,,,
151,=Unsatisfactory=,Not good for my hair,,,
152,=Unsatisfactory=,false advertise,,,
153,=VeryGood=,Dove Body Wash w/ NutriumMoisture,,,
154,=Good=,"great bag, but..",,,
155,=Excellent=,Beautiful color,,,
156,=Unsatisfactory=,Like you just applied a tub of oil to yourself,,,
157,=Good=,I love the microweb fiber... Just not my bottle.,,,
158,=Unsatisfactory=,Doctor prescribed tips for eczema - not the new Dove!,,,
159,=Poor=,This will cause more acne. Don't use it.,,,
160,=Good=,I like it but...,,,
161,=Unsatisfactory=,doesn't work,,,
162,=VeryGood=,Ok.,,,
163,=VeryGood=,"The \miracle beauy product\""""",,,
164,=Excellent=,Great stuff.,,,
165,=Unsatisfactory=,maybe not necessary,,,
166,=Poor=,it looks powdery,,,
167,=Good=,Alright,,,
168,=Unsatisfactory=,Didn't last :(,,,
169,=Poor=,Crap,,,
170,=Poor=,Fake,,,
171,=Poor=,For Professional Only,,,
172,=Good=,Burned my Face,,,
173,=Excellent=,Wow! Cheerful color!,,,
174,=Excellent=,Best,,,
175,=VeryGood=,nice,,,
176,=Good=,"Doesn't strip color, but otherwise unremarkable",,,
177,=Unsatisfactory=,"not as good as macademia, moroccan, or better yet homemade oils",,,
178,=Excellent=,Had to get back to this cream..again,,,
179,=Good=,Great lotion,,,
180,=Excellent=,Love it!,,,
181,=Good=,audrey,,,
182,=Excellent=,So far so good,,,
183,=Unsatisfactory=,Kerastase Reflection By Kerastase Chrom Thermique Thermo Radiance,,,
184,=Good=,"good for lips, not so much for cheeks",,,
185,=Excellent=,10% Glycolic Acid value,,,
186,=Good=,DOES THE JOB BUT SO DOES ANY OTHER CONCEALER,,,
187,=Excellent=,Get THIS Brush,,,
188,=Unsatisfactory=,Disappointing,,,
189,=Unsatisfactory=,I dont see any improvement?,,,
190,=Unsatisfactory=,"SORRY, NOT FEELING ANY DIFFERENCE",,,
191,=Unsatisfactory=,"Sticky, heavy, & Breakouts!!!",,,
192,=VeryGood=,Pretty Good,,,
193,=Good=,good but don't like the smell,,,
194,=Excellent=,Love Earth Science products...,,,
195,=Unsatisfactory=,"Heavy, Oddly Chemical Smell",,,
196,=Good=,Ok but not great,,,
197,=VeryGood=,Best Beauty Products = Big Bucks,,,
198,=Poor=,Re-consider using this if you have ethnic hair...,,,
199,=Good=,Not really sure but,,,
200,=Excellent=,Strongest I Have Found...,,,
201,=VeryGood=,Good but,,,
202,=VeryGood=,Really nice sponges with lots of uses...,,,
203,=Unsatisfactory=,Smells OK but super greasy,,,
204,=Unsatisfactory=,Plastic and flimsy.  I'm disappointed.,,,
205,=Good=,was a bit too greasy for me,,,
206,=Unsatisfactory=,gender issues in lotion?,,,
207,=VeryGood=,Nice smell and feel,,,
208,=Good=,Just OK,,,
209,=VeryGood=,A Mixed Review,,,
210,=Poor=,cologne not stored properly?,,,
211,=VeryGood=,Nice,,,
212,=Poor=,DON'T BUY!,,,
213,=Excellent=,best treat for clear and radiant skin,,,
214,=Excellent=,quality product,,,
215,=Excellent=,A must have for me,,,
216,=Excellent=,This stuff is wonderful,,,
217,=Unsatisfactory=,Glue sorry wrote this review under my hubby's account,,,
218,=Unsatisfactory=,Not for me.,,,
219,=VeryGood=,Silky,,,
220,=Excellent=,Know your product!,,,
221,=Poor=,Did not like,,,
222,=Good=,"Not for color treated, dry hair",,,
223,=Unsatisfactory=,I wouldn't buy it,,,
224,=Unsatisfactory=,Doesn't clean as well as regular soap.,,,
225,=Excellent=,Couldn't find my old cleanser,,,
226,=Unsatisfactory=,Wig It Gripper,,,
227,=Poor=,Too thin to be of any help,,,
228,=Unsatisfactory=,Meh,,,
229,=Excellent=,Works great!,,,
230,=Poor=,it fell apart in a month,,,
231,=Good=,An OK spot treatment.,,,
232,=Excellent=,Pores begone,,,
233,=VeryGood=,It dries.,,,
234,=Unsatisfactory=,Can't tell if it does anything,,,
235,=Unsatisfactory=,Doesnt work,,,
236,=Excellent=,OMGosh! ABSOLUTELY FANTASTIC!!!,,,
237,=Excellent=,As Good As My Favorites,,,
238,=Poor=,Not for me,,,
239,=Unsatisfactory=,Not the greatest polishes,,,
240,=Good=,It works.,,,
241,=Excellent=,best. smell. ever.,,,
242,=Unsatisfactory=,Too rough for the eye area,,,
243,=Excellent=,Spornette Cushion Brush,,,
244,=Unsatisfactory=,"Sadly, not impressed",,,
245,=VeryGood=,Hair Dryer for everybody,,,
246,=Poor=,Not good for oily complexions.,,,
247,=Poor=,"Seriously, eStores?",,,
248,=VeryGood=,Lovely but not on me!,,,
249,=Good=,Wrong size!!,,,
250,=Poor=,Features include a massive mess and a more-than-minor burning sensation.,,,
251,=Excellent=,Excellent,,,
252,=Poor=,NOT organic,,,
253,=Excellent=,"LOVE IT, LOVE IT, LOVE IT!!",,,
254,=Unsatisfactory=,Not such a pleasant smell,,,
255,=Unsatisfactory=,I want to like it...,,,
256,=Good=,Doesn't work on my fine hair,,,
257,=Excellent=,Great opacity,,,
258,=Unsatisfactory=,Didn't Work For Me,,,
259,=Excellent=,Tea Tree oil promotes healthy skin and is a natural healer,,,
260,=Poor=,blah....,,,
261,=VeryGood=,Ok tinted moisturizer,,,
262,=Excellent=,Great scent!,,,
263,=Poor=,Not for me,,,
264,=Unsatisfactory=,Moving along...,,,
265,=VeryGood=,Works Well,,,
266,=Poor=,Just doesn't curl...,,,
267,=VeryGood=,Doesn't work for me yet...,,,
268,=VeryGood=,So Sar-So Good,,,
269,=Good=,Brand,,,
270,=Unsatisfactory=,Really cheesy,,,
271,=Good=,Hard to apply evenly,,,
272,=Good=,Sally Hansen Double Duty Base & Top Coat,,,
273,=Excellent=,I have switched!,,,
274,=Unsatisfactory=,I wish it worked for me,,,
275,=Unsatisfactory=,Misses The Mark,,,
276,=Excellent=,Vidal Sassoon No Headache Headbands (2),,,
277,=VeryGood=,Cool....,,,
278,=Good=,I don't mind The Smell,,,
279,=Poor=,No,,,
280,=Excellent=,Great product for sensitive skin,,,
281,=VeryGood=,pleased,,,
282,=VeryGood=,Smaller than expected.,,,
283,=VeryGood=,CLEANER THAN CLEAN,,,
284,=VeryGood=,Good price.,,,
285,=Excellent=,speeds up bad acne fading,,,
286,=VeryGood=,Fairly heavy night cream,,,
287,=VeryGood=,Brow sealer,,,
288,=Excellent=,Great set,,,
289,=Unsatisfactory=,meh its okay,,,
290,=Unsatisfactory=,Not What I Thought,,,
291,=Good=,Great &#34;fat&#34; hair in dry climate; not so &#34;fat&#34; in humid one!,,,
292,=Good=,not for dry skin,,,
293,=Poor=,not full cover nails!,,,
294,=Unsatisfactory=,It just sits in my cabinet.,,,
295,=Excellent=,Large,,,
296,=Good=,... really doesnt do as it say but goes on nicely is about it and a good,,,
297,=VeryGood=,Only con is that its a little bit greasy...,,,
298,=Unsatisfactory=,Didn't do much...,,,
299,=VeryGood=,Great Lotion - Overpowering Scent,,,
300,=Excellent=,"Berry, raspberry",,,
301,=Poor=,Terrible for women and children. Ingredients may cause breast cancer.,,,
302,=Excellent=,Smell goes away!,,,
303,=Unsatisfactory=,This is horrible!!!!,,,
304,=VeryGood=,Love the sponge,,,
