0	1	K	eps
0	1	G	eps
0	1	P	eps
0	2	A	eps
0	3	W	eps
1	4	N	N
2	4	E	E
3	4	R	R
0	4	E	E	0.0
0	4	B	B	0.0
0	4	C	C	0.0
0	4	D	D	0.0
0	4	F	F	0.0
0	4	I	I	0.0
0	4	H	H	0.0
0	4	J	J	0.0
0	4	O	O	0.0
0	4	L	L	0.0
0	4	M	M	0.0
0	4	N	N	0.0
0	4	U	U	0.0
0	4	Q	Q	0.0
0	4	R	R	0.0
0	4	S	S	0.0
0	4	T	T	0.0
0	4	V	V	0.0
0	4	X	X	0.0
0	4	Y	Y	0.0
0	4	Z	Z	0.0
0	4	0	0	0.0
0	4	A	A	2.0
0	4	G	G	2.0
0	4	K	K	2.0
0	4	P	P	2.0
0	4	W	W	2.0
0	4	eps	eps	2.0
4	4	A	A	0.0
4	4	E	E	0.0
4	4	I	I	0.0
4	4	B	B	0.0
4	4	C	C	0.0
4	4	D	D	0.0
4	4	F	F	0.0
4	4	G	G	0.0
4	4	H	H	0.0
4	4	J	J	0.0
4	4	K	K	0.0
4	4	L	L	0.0
4	4	O	O	0.0
4	4	U	U	0.0
4	4	N	N	0.0
4	4	P	P	0.0
4	4	Q	Q	0.0
4	4	R	R	0.0
4	4	S	S	0.0
4	4	T	T	0.0
4	4	V	V	0.0
4	4	W	W	0.0
4	4	X	X	0.0
4	4	Y	Y	0.0
4	4	Z	Z	0.0
4	4	0	0	0.0
4	4	M	M	2.0
4	6	eps	eps
4	5	M	M
5	6	B	eps
6
