0	1	S	S
1	2	C	K
2	0	H	H
0	3	C	X
3	0	H	H
3	4	I	I
4	0	A	A
0	5	C	S
5	6	I	I
6	0	E	E	0.0
6	0	I	I	0.0
6	0	O	O	0.0
6	0	U	U	0.0
6	0	B	B	0.0
6	0	C	C	0.0
6	0	D	D	0.0
6	0	F	F	0.0
6	0	G	G	0.0
6	0	H	H	0.0
6	0	J	J	0.0
6	0	K	K	0.0
6	0	L	L	0.0
6	0	M	M	0.0
6	0	N	N	0.0
6	0	P	P	0.0
6	0	Q	Q	0.0
6	0	R	R	0.0
6	0	S	S	0.0
6	0	T	T	0.0
6	0	V	V	0.0
6	0	W	W	0.0
6	0	X	X	0.0
6	0	Y	Y	0.0
6	0	Z	Z	0.0
6	0	0	0	0.0
5	0	E	E
5	0	Y	Y
0	0	C	K	3.0
0	0	A	A	3.0
0	0	B	B	3.0
0	0	E	E	3.0
0	0	I	I	3.0
0	0	O	O	3.0
0	0	U	U	3.0
0	0	D	D	3.0
0	0	F	F	3.0
0	0	G	G	3.0
0	0	H	H	3.0
0	0	J	J	3.0
0	0	K	K	3.0
0	0	L	L	3.0
0	0	M	M	3.0
0	0	N	N	3.0
0	0	P	P	3.0
0	0	Q	Q	3.0
0	0	R	R	3.0
0	0	S	S	3.0
0	0	T	T	3.0
0	0	V	V	3.0
0	0	W	W	3.0
0	0	X	X	3.0
0	0	Y	Y	3.0
0	0	Z	Z	3.0
0	0	0	0	3.0
0
